,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate,Unnamed: 16
499465,2009,Toyota,RAV4,Limited,suv,automatic,jtmbk31v89d010179,mi,4.9,54157.0,black,gray,kevins marysville auto sales inc,15300,15300,Thu Jun 04 2015 02:30:00 GMT-0700 (PDT),
179815,2013,BMW,5 Series,535i xDrive,Sedan,,wbafu7c5xddu73978,pa,4.8,22966.0,gray,black,wheels exchange llc,38100,38500,Tue Feb 10 2015 01:30:00 GMT-0800 (PST),
83263,2007,Chevrolet,TrailBlazer,LS,SUV,automatic,1gnds13s172194610,ca,3.6,118787.0,silver,gray,california fleet inc,4300,4300,Thu Jan 08 2015 12:00:00 GMT-0800 (PST),
31311,2013,Chevrolet,Impala,LT Fleet,Sedan,automatic,2g1wg5e35d1189091,fl,3.0,52674.0,gray,gray,the hertz corporation/gm,10150,9800,Fri Dec 19 2014 09:35:00 GMT-0800 (PST),
195249,2008,Pontiac,G6,GT,Sedan,automatic,1g2zh57n584290937,tn,2.9,133899.0,burgundy,black,"jpmorgan chase bank,n.a.",3875,4400,Wed Jan 28 2015 02:30:00 GMT-0800 (PST),
313574,2014,GMC,Savana Cargo,2500,Van,automatic,1gtw7fca5e1910693,tx,4.4,5514.0,white,gray,u-haul international,22000,21400,Wed Feb 18 2015 02:00:00 GMT-0800 (PST),
87315,2013,Toyota,Corolla,LE,Sedan,automatic,2t1bu4ee7dc109673,wa,2.5,16384.0,white,gray,toyota financial services,12750,12200,Wed Jan 14 2015 05:15:00 GMT-0800 (PST),
293564,2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae7dh316922,fl,4.6,8388.0,brown,beige,hyundai motor finance,12850,13400,Tue Feb 17 2015 01:30:00 GMT-0800 (PST),
367184,2007,Ford,F-150,XLT,SuperCrew,automatic,1ftpw14v97fb25546,co,2.2,209700.0,red,gray,gm financial,5750,5500,Tue Mar 03 2015 04:00:00 GMT-0800 (PST),
449246,2005,,,,,manual,1g1yy24ux55131394,pa,3.5,87009.0,black,black,r hollenshead auto sales inc,17150,19300,Fri May 22 2015 02:00:00 GMT-0700 (PDT),
394820,2014,Nissan,Versa Note,1.6 SV,Hatchback,automatic,3n1ce2cp5el404282,in,2,28260.0,blue,black,enterprise vehicle exchange / tra / rental / tulsa,10550,5900,Wed Mar 04 2015 05:00:00 GMT-0800 (PST),
296058,2010,Dodge,Grand Caravan,SE,Minivan,automatic,2d4rn4de7ar497094,fl,3.7,66899.0,silver,gray,lease plan usa,7875,8000,Fri Feb 13 2015 02:15:00 GMT-0800 (PST),
191653,2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap0ec196333,fl,5.0,2652.0,white,beige,nissan-infiniti lt,16050,22400,Tue Jan 27 2015 01:30:00 GMT-0800 (PST),
427772,2007,Suzuki,Forenza,Base,Sedan,automatic,kl5jd56z27k518286,tx,1.9,64529.0,black,gray,dt inventory,1575,800,Tue May 26 2015 03:05:00 GMT-0700 (PDT),
458423,2013,Mitsubishi,Outlander Sport,ES,SUV,automatic,4a4ap3au1de013084,mo,3.8,48663.0,blue,black,td auto finance,11100,10500,Wed May 27 2015 03:30:00 GMT-0700 (PDT),
68374,2014,Kia,Forte,LX,Sedan,automatic,knafx4a63e5236293,oh,4.8,9654.0,silver,gray,"kia motors america, inc",12950,12900,Tue Jan 06 2015 01:30:00 GMT-0800 (PST),
311531,2009,Ford,Focus,SES,Sedan,automatic,1fahp36n09w207457,md,3.0,131088.0,black,gray,f & j auto brokers inc,4225,1800,Tue Feb 17 2015 05:00:00 GMT-0800 (PST),
